"state","name","district","chamber"
"WI","U.S. House of Representatives",2,"lower"
"WI","U.S. House of Representatives",3,"lower"
"WI","U.S. House of Representatives",4,"lower"
"WI","U.S. House of Representatives",5,"lower"
"WI","U.S. House of Representatives",6,"lower"
"WI","U.S. House of Representatives",7,"lower"
"WI","U.S. House of Representatives",8,"lower"
"WI","Governor",,
"WI","Lieutenant Governor",,
"WI","Attorney General",,
"WI","Secretary of State",,
"WI","State Treasurer",,
"WI","State Superintendent of Public Instruction",,
"WI","State Senate",1,"upper"
"WI","State Senate",2,"upper"
"WI","State Senate",3,"upper"
"WI","State Senate",4,"upper"
"WI","State Senate",5,"upper"
"WI","State Senate",6,"upper"
"WI","State Senate",7,"upper"
"WI","State Senate",8,"upper"
"WI","State Senate",9,"upper"
"WI","State Senate",10,"upper"
"WI","State Senate",11,"upper"
"WI","State Senate",12,"upper"
"WI","State Senate",13,"upper"
"WI","State Senate",14,"upper"
"WI","State Senate",15,"upper"
"WI","State Senate",16,"upper"
"WI","State Senate",17,"upper"
"WI","State Senate",18,"upper"
"WI","State Senate",19,"upper"
"WI","State Senate",20,"upper"
"WI","State Senate",21,"upper"
"WI","State Senate",22,"upper"
"WI","State Senate",23,"upper"
"WI","State Senate",24,"upper"
"WI","State Senate",25,"upper"
"WI","State Senate",26,"upper"
"WI","State Senate",27,"upper"
"WI","State Senate",28,"upper"
"WI","State Senate",29,"upper"
"WI","State Senate",30,"upper"
"WI","State Senate",31,"upper"
"WI","State Senate",32,"upper"
"WI","State Senate",33,"upper"
"WI","State Assembly",1,"lower"
"WI","State Assembly",2,"lower"
"WI","State Assembly",3,"lower"
"WI","State Assembly",4,"lower"
"WI","State Assembly",5,"lower"
"WI","State Assembly",6,"lower"
"WI","State Assembly",7,"lower"
"WI","State Assembly",8,"lower"
"WI","State Assembly",9,"lower"
"WI","State Assembly",10,"lower"
"WI","State Assembly",11,"lower"
"WI","State Assembly",12,"lower"
"WI","State Assembly",13,"lower"
"WI","State Assembly",14,"lower"
"WI","State Assembly",15,"lower"
"WI","State Assembly",16,"lower"
"WI","State Assembly",17,"lower"
"WI","State Assembly",18,"lower"
"WI","State Assembly",19,"lower"
"WI","State Assembly",20,"lower"
"WI","State Assembly",21,"lower"
"WI","State Assembly",22,"lower"
"WI","State Assembly",23,"lower"
"WI","State Assembly",24,"lower"
"WI","State Assembly",25,"lower"
"WI","State Assembly",26,"lower"
"WI","State Assembly",27,"lower"
"WI","State Assembly",28,"lower"
"WI","State Assembly",29,"lower"
"WI","State Assembly",30,"lower"
"WI","State Assembly",31,"lower"
"WI","State Assembly",32,"lower"
"WI","State Assembly",33,"lower"
"WI","State Assembly",34,"lower"
"WI","State Assembly",35,"lower"
"WI","State Assembly",36,"lower"
"WI","State Assembly",37,"lower"
"WI","State Assembly",38,"lower"
"WI","State Assembly",39,"lower"
"WI","State Assembly",40,"lower"
"WI","State Assembly",41,"lower"
"WI","State Assembly",42,"lower"
"WI","State Assembly",43,"lower"
"WI","State Assembly",44,"lower"
"WI","State Assembly",45,"lower"
"WI","State Assembly",46,"lower"
"WI","State Assembly",47,"lower"
"WI","State Assembly",48,"lower"
"WI","State Assembly",49,"lower"
"WI","State Assembly",50,"lower"
"WI","State Assembly",51,"lower"
"WI","State Assembly",52,"lower"
"WI","State Assembly",53,"lower"
"WI","State Assembly",54,"lower"
"WI","State Assembly",55,"lower"
"WI","State Assembly",56,"lower"
"WI","State Assembly",57,"lower"
"WI","State Assembly",58,"lower"
"WI","State Assembly",59,"lower"
"WI","State Assembly",60,"lower"
"WI","State Assembly",61,"lower"
"WI","State Assembly",62,"lower"
"WI","State Assembly",63,"lower"
"WI","State Assembly",64,"lower"
"WI","State Assembly",65,"lower"
"WI","State Assembly",66,"lower"
"WI","State Assembly",67,"lower"
"WI","State Assembly",68,"lower"
"WI","State Assembly",69,"lower"
"WI","State Assembly",70,"lower"
"WI","State Assembly",71,"lower"
"WI","State Assembly",72,"lower"
"WI","State Assembly",73,"lower"
"WI","State Assembly",74,"lower"
"WI","State Assembly",75,"lower"
"WI","State Assembly",76,"lower"
"WI","State Assembly",77,"lower"
"WI","State Assembly",78,"lower"
"WI","State Assembly",79,"lower"
"WI","State Assembly",80,"lower"
"WI","State Assembly",81,"lower"
"WI","State Assembly",82,"lower"
"WI","State Assembly",83,"lower"
"WI","State Assembly",84,"lower"
"WI","State Assembly",85,"lower"
"WI","State Assembly",86,"lower"
"WI","State Assembly",87,"lower"
"WI","State Assembly",88,"lower"
"WI","State Assembly",89,"lower"
"WI","State Assembly",90,"lower"
"WI","State Assembly",91,"lower"
"WI","State Assembly",92,"lower"
"WI","State Assembly",93,"lower"
"WI","State Assembly",94,"lower"
"WI","State Assembly",95,"lower"
"WI","State Assembly",96,"lower"
"WI","State Assembly",97,"lower"
"WI","State Assembly",98,"lower"
"WI","State Assembly",99,"lower"
"WI","Supreme Court",,
"WI","Court of Appeals",1,
"WI","Court of Appeals",2,
"WI","Court of Appeals",3,
"WI","Court of Appeals",4,
